legacy_page_num,legacy_component,component_name,file_name,translation_prefix,css_prefix,section_anchor_id,title,indicator_keys,data_getters,data_status
63,Page63,CleantechCompaniesByIndustry,CleantechCompaniesByIndustry.jsx,cleantech_companies_industry,cleantech-companies-industry,cleantech-companies-industry,Canadian cleantech companies by industry,clean_tech; cleantech_companies_industry,getCleantechCompaniesByIndustryData,pipeline_present
64,Page64,ElectricityInternationalContext,ElectricityInternationalContext.jsx,electricity_international_context,electricity-international-context,electricity-international-context,Electricity,,,static_hardcoded
65,Page65,ElectricityTrade,ElectricityTrade.jsx,electricity_trade_us,electricity-trade-us,electricity-trade-us,Trade (),electricity_trade_us,getElectricityTradeData,pipeline_present
66,Page66,CanadianElectricityGeneration,CanadianElectricityGeneration.jsx,electricity_generation_canada,canadian-electricity-generation,canadian-electricity-generation,Canadian supply,electricity_generation_by_source,getCanadianElectricityGenerationData,pipeline_present
67,Page67,ProvincialElectricityGeneration,ProvincialElectricityGeneration.jsx,electricity_generation_provincial,provincial-electricity-generation,provincial-electricity-generation,Provincial electricity generation by source,electricity_generation_by_source,getProvincialElectricityGenerationData,pipeline_partial
68,Page68,ElectricalEnergyUse,ElectricalEnergyUse.jsx,electrical_energy_use,electricity-energy-use,electricity-energy-use,Electrical energy use,electrical_energy_use,getElectricalEnergyUseData,pipeline_present
69,Page69,ElectricityPricesMap,ElectricityPricesMap.jsx,electricity_prices,electricity-prices,electricity-prices,Electricity prices,electricity_prices,getElectricityPricesMapData,pipeline_present
70,Page70,WindSolarElectricityGrowth,WindSolarElectricityGrowth.jsx,wind_solar_electricity_growth,wind-solar-electricity-growth,wind-solar-electricity-growth,"Wind and solar net electricity generation growth in Canada, – (GWh)",wind_solar_electricity_growth,getWindSolarElectricityGrowthData,pipeline_present
71,Page71,ElectricityGhgSpotlight,ElectricityGhgSpotlight.jsx,ghg_electricity_spotlight,electricity-ghg-spotlight,electricity-ghg-spotlight,GHG spotlight: Electricity,ghg_electricity_spotlight,getElectricityGhgSpotlightData,pipeline_present
74,Page74,RenewableElectricityCapacity,RenewableElectricityCapacity.jsx,renewable_electricity_capacity,renewable-electricity-capacity,renewable-electricity-capacity,Canadian renewable electricity generating capacity,renewable_electricity_capacity,getRenewableElectricityCapacityData,pipeline_present
76,Page76,HydroelectricCapacity,HydroelectricCapacity.jsx,major_hydro_facilities,major-hydro-facilities,major-hydro-facilities,Hydroelectricity capacity in Canada,major_hydro_facilities; renewable_electricity_capacity,getHydroelectricCapacityData,pipeline_present
78,Page78,SolidBiofuelsProduction,SolidBiofuelsProduction.jsx,solid_biofuels,solid-biofuels,solid-biofuels,Canadian production of solid biofuels,solid_biofuels,getSolidBiofuelsProductionData,pipeline_present
79,Page79,WorldWindPower,WorldWindPower.jsx,world_wind_power,world-wind-power,world-wind-power,Wind power,world_wind_power,getWorldWindPowerData,pipeline_present
80,Page80,CanadianWindPower,CanadianWindPower.jsx,wind_power_canada,wind-power-canada,wind-power-canada,Wind power in Canada,wind_power_canada,getCanadianWindPowerData,pipeline_present
81,Page81,WindProjectsMap,WindProjectsMap.jsx,largest_wind_projects,wind-capacity,wind-capacity,Wind_capacity_by_province,largest_wind_projects; wind_capacity_by_province,getWindProjectsMapData,pipeline_present
82,Page82,WorldSolarPower,WorldSolarPower.jsx,world_solar_pv,world-solar-pv,world-solar-pv,Solar photovoltaic,world_solar_pv,getWorldSolarPowerData,pipeline_present
84,Page84,LargestSolarProjects,LargestSolarProjects.jsx,largest_solar_projects,largest-solar-projects,largest-solar-projects,Largest solar projects,largest_solar_projects,getLargestSolarProjectsData,pipeline_missing
85,Page85,UraniumInternational,UraniumInternational.jsx,uranium_international,uranium-international,uranium-international,Uranium,uranium_international,getUraniumInternationalData,pipeline_present
86,Page86,NuclearPower,NuclearPower.jsx,nuclear_power,nuclear-power,nuclear-power,Nuclear power,,,static_hardcoded
87,Page87,CanadianUraniumSupplyDemand,CanadianUraniumSupplyDemand.jsx,canadian_uranium_supply_demand,canadian-uranium-supply-demand,canadian-uranium-supply-demand,Canadian supply and demand,,,static_hardcoded
89,Page89,CanduNuclearReactors,CanduNuclearReactors.jsx,candu_nuclear_reactors,candu-nuclear-reactors,candu-nuclear-reactors,CANDU nuclear reactors,,,static_hardcoded
90,Page90,NuclearPowerPlantsUraniumPrices,NuclearPowerPlantsUraniumPrices.jsx,nuclear_power_plants_uranium_prices,nuclear-power-plants-uranium-prices,nuclear-power-plants-uranium-prices,Uranium \u2013 prices,,,static_hardcoded
91,Page91,BiofuelsTransportation,BiofuelsTransportation.jsx,biofuels_transportation,biofuels-transportation,biofuels-transportation,Biofuels and transportation,,,static_hardcoded
93,Page93,CanadianBiofuelProduction,CanadianBiofuelProduction.jsx,canadian_biofuel_production,canadian-biofuel-production,canadian-biofuel-production,Canadian biofuel production,,,static_hardcoded
95,Page95,TransportationFuelMix,TransportationFuelMix.jsx,transportation_fuel_mix,transportation-fuel-mix,transportation-fuel-mix,Fuel mix of the transportation sector,,,static_hardcoded
96,Page96,EvSalesRegistrations,EvSalesRegistrations.jsx,ev_sales,ev-sales,ev-sales,"Plug-in electric vehicle registrations portion of total vehicle sales, –",ev_sales,getEvSalesRegistrationsData,pipeline_present
97,Page97,TransportationGhgSpotlight,TransportationGhgSpotlight.jsx,ghg_transportation_spotlight,transportation-ghg-spotlight,transportation-ghg-spotlight,GHG spotlight: Transportation,,,static_hardcoded
98,Page98,ElectricVehicleCharging,ElectricVehicleCharging.jsx,electric_vehicle_charging,electric-vehicle-charging,electric-vehicle-charging,Electric vehicle charging,,,static_hardcoded
99,Page99,PublicEvChargingStations,PublicEvChargingStations.jsx,public_ev_charging_stations,public-ev-charging-stations,public-ev-charging-stations,Types_of_EV_chargers_at_public_charging_stations_in_Canada_,,,static_hardcoded
102,Page102,HydrogenIndustry,HydrogenIndustry.jsx,hydrogen_industry,hydrogen-industry,hydrogen-industry,Hydrogen industry in Canada,,,static_hardcoded
103,Page103,OilGasCoalOverview,OilGasCoalOverview.jsx,oil_gas_coal_overview,oil-gas-coal-overview,oil-gas-coal-overview,"Oil, natural gas and coal",,,no_data
105,Page105,PetroleumEmploymentByRegion,PetroleumEmploymentByRegion.jsx,petroleum_sector_employment,petroleum-employment-by-region,petroleum-employment-by-region,Share of employment by region,petroleum_sector_employment,getPetroleumEmploymentByRegionData,pipeline_present
106,Page106,PetroleumEmployment,PetroleumEmployment.jsx,petroleum_employment,petroleum-employment,petroleum-employment,Petroleum employment,,,static_hardcoded
107,Page107,PetroleumGdp,PetroleumGdp.jsx,petroleum_gdp,petroleum-gdp,petroleum-gdp,PETROLEUM GDP (Billions of Canadian Dollars),,,static_hardcoded
108,Page108,CrudeOilInternational,CrudeOilInternational.jsx,crude_oil_international,crude-oil-international,crude-oil-international,Crude oil,,,static_hardcoded
109,Page109,WorldProvedCrudeReserves,WorldProvedCrudeReserves.jsx,world_crude_reserves,world-crude-oil-proved-reserves,world-crude-oil-proved-reserves,World proved reserves,world_proved_crude_reserves,getWorldProvedCrudeReservesData,pipeline_present
110,Page110,CanadianCrudeReserves,CanadianCrudeReserves.jsx,petroleum_reserves,canadian-crude-reserves,canadian-crude-reserves,Canadian resources,petroleum_reserves; western_canada_oil_wells,getCanadianCrudeReservesData,pipeline_present
111,Page111,CanadianCrudeProduction,CanadianCrudeProduction.jsx,canadian_production,canadian-crude-production,canadian-crude-production,Canadian production,canadian_production,getCanadianCrudeProductionData,pipeline_present
112,Page112,CanadianSupplyDemand,CanadianSupplyDemand.jsx,canadian_supply_demand,canadian-supply-demand,canadian-supply-demand,Canadian supply and demand,,,static_hardcoded
113,Page113,OilSandsProduction,OilSandsProduction.jsx,oil_sands,oil-sands,oil-sands,Oil sands,oil_sands,getOilSandsProductionData,pipeline_present
117,Page117,CrudeOilPrices,CrudeOilPrices.jsx,crude_prices,crude-oil-prices,crude-oil-prices,Prices,crude_prices,getCrudeOilPricesData,pipeline_present
119,Page119,OilByRail,OilByRail.jsx,oil_by_rail,oil-by-rail,oil-by-rail,Oil by rail,,,static_hardcoded
122,Page122,NaturalGasInternational,NaturalGasInternational.jsx,natural_gas_international,natural-gas-international,natural-gas-international,Natural gas,,,static_hardcoded
123,Page123,WorldProvedGasReserves,WorldProvedGasReserves.jsx,world_gas_reserves,world-natural-gas-proved-reserves,world-natural-gas-proved-reserves,World proved reserves,,,static_hardcoded
126,Page126,WesternCanadaGasWellCompletions,WesternCanadaGasWellCompletions.jsx,western_canada_gas_well_completions,western-canada-gas-well-completions,western-canada-gas-well-completions,Count and average depth of natural gas wells completed in Western Canada,,,static_hardcoded
132,Page132,OilGasGhgSpotlight,OilGasGhgSpotlight.jsx,ghg_oilgas_spotlight,ghg-spotlight-oil-gas,ghg-spotlight-oil-gas,GHG spotlight: Oil and gas,ghg_emissions,getOilGasGhgSpotlightData,pipeline_partial
135,Page135,RefinedPetroleumProducts,RefinedPetroleumProducts.jsx,refined_petroleum_products,refined-petroleum-products,refined-petroleum-products,Refined petroleum products (RPPs),,,no_data
136,Page136,RppSupplyDemand,RppSupplyDemand.jsx,rpp_refinery_input,rpp-supply-demand,rpp-supply-demand,Supply and demand* (),rpp_refinery_input; rpp_supply_demand,getRppSupplyDemandData,pipeline_present
138,Page138,RetailGasolinePrices,RetailGasolinePrices.jsx,kal_gas_prices,retail-gasoline-prices,retail-gasoline-prices,Retail prices,kal_gas_prices,getRetailGasolinePricesData,pipeline_present
139,Page139,RefineryCapacity,RefineryCapacity.jsx,osm_refin_cap,refinery-capacity,refinery-capacity,Refinery capacity,osm_refin_cap,getRefineryCapacityData,pipeline_present
140,Page140,CoalInternational,CoalInternational.jsx,coal_international,coal-international,coal-international,Coal,,,static_hardcoded
